548,Cristinápolis,28
549,Duque de Caxias,33
550,Aragarças,52
551,Aurora,23
552,Ascurra,42
553,Humaitá,13
554,Capela,27
555,Conceição do Castelo,32
556,Barra do Bugres,51
557,Bertolínia,22
558,Araruna,41
559,Belo Jardim,26
560,Almenara,31
561,Barreirinhas,21
562,Américo Brasiliense,35
563,Urupá,11
564,Barra de São Miguel,25
565,Bragança,15
566,Brasil Novo,15
567,Belágua,21
568,Betânia do Piauí,22
569,Barão do Triunfo,43
570,Vale do Anari,11
571,Brejo Grande do Araguaia,15
572,Boa Hora,22
573,Bela Vista do Maranhão,21
574,Breu Branco,15
575,Brejinho,24
576,Barracão,43
577,Engenheiro Paulo de Frontin,33
578,Aragoiânia,52
579,Baixio,23
580,Atalanta,42
581,Ipixuna,13
582,Carneiros,27
583,Divino de São Lourenço,32
584,Barra do Garças,51
585,Bocaina,22
586,Araucária,41
587,Betânia,26
588,Alpercata,31
589,Benedito Leite,21
590,Américo de Campos,35
591,Vale do Paraíso,11
592,Bayeux,25
593,Breves,15
594,Antônio Gonçalves,29
595,Guapimirim,33
596,Banabuiú,23
597,Iranduba,13
598,Bom Jesus do Araguaia,51
599,Ariranha do Ivaí,41
600,Caiçara do Norte,24
601,Barra do Guarita,43
602,Barra do Quaraí,43
603,Iguaba Grande,33
604,Cumbe,28
605,Itaboraí,33
606,Barbalha,23
607,Aurora,42
608,Itacoatiara,13
609,Chã Preta,27
610,Domingos Martins,32
611,Brasnorte,51
612,Araguacema,17
613,Bom Jesus,22
614,Assaí,41
615,Bezerros,26
616,Alpinópolis,31
617,Bataguassu,50
618,Bequimão,21
619,Amparo,35
620,Belém,25
621,Bujaru,15
622,Aporá,29
623,Caiçara do Rio do Vento,24
624,Barra do Ribeiro,43
625,Bom Princípio do Piauí,22
626,Barra do Rio Azul,43
627,Bonfim do Piauí,22
628,Bernardo do Mearim,21
629,Boqueirão do Piauí,22
630,Barreira,23
631,Balneário Arroio do Silva,42
632,Itamarati,13
633,Cachoeira do Piriá,15
634,Apuarema,29
635,Barra Funda,43
636,Brasileira,22
637,Boa Vista do Gurupi,21
638,Brejo do Piauí,22
639,Araguaçu,17
640,Buriti dos Lopes,22
641,Assis Chateaubriand,41
642,Bodocó,26
643,Alterosa,31
644,Batayporã,50
645,Bom Jardim,21
646,Analândia,35
647,Belém do Brejo do Cruz,25
648,Cachoeira do Arari,15
649,Aracatu,29
650,Caicó,24
651,Barros Cassal,43
652,Divina Pastora,28
653,Itaguaí,33
654,Barro,23
655,Balneário Camboriú,42
656,Itapiranga,13
657,Coité do Nóia,27
658,Dores do Rio Preto,32
659,Buriti dos Montes,22
660,Bom Jesus das Selvas,21
661,Alto Caparaó,31
662,Bernardino Batista,25
663,Araçás,29
664,Benjamin Constant do Sul,43
665,Italva,33
666,Barroquinha,23
667,Balneário Barra do Sul,42
668,Cabeceiras do Piauí,22
669,Balneário Gaivota,42
670,Cajazeiras do Piauí,22
671,Bom Lugar,21
672,Bandeirante,42
673,Cajueiro da Praia,22
674,Caldeirão Grande do Piauí,22
675,Barra Bonita,42
676,Bom Conselho,26
677,Alto Rio Doce,31
678,Bela Vista,50
679,Brejo,21
680,Andradina,35
681,Boa Ventura,25
682,Cametá,15
683,Araci,29
684,Campo Redondo,24
685,Bento Gonçalves,43
686,Estância,28
687,Itaocara,33
688,Baturité,23
689,Barra Velha,42
690,Japurá,13
691,Colônia Leopoldina,27
692,Ecoporanga,32
693,Araguaína,17
694,Campinas do Piauí,22
695,Astorga,41
696,Campo Alegre do Fidalgo,22
697,Bela Vista do Toldo,42
698,Campo Grande do Piauí,22
699,Brejo de Areia,21
700,Boa Vista,25
701,Canaã dos Carajás,15
702,Boa Vista das Missões,43
703,Araguapaz,52
704,Belmonte,42
705,Araguanã,17
706,Bodoquena,50
707,Campo Largo do Piauí,22
708,Buriti,21
709,Angatuba,35
710,Bom Jesus,25
711,Capanema,15
712,Aramari,29
713,Canguaretama,24
714,Boa Vista do Buricá,43
715,Feira Nova,28
716,Itaperuna,33
717,Beberibe,23
718,Benedito Novo,42
719,Juruá,13
720,Coqueiro Seco,27
721,Fundão,32
722,Araguatins,17
723,Campo Maior,22
724,Atalaia,41
725,Bom Jardim,26
726,Alvarenga,31
727,Bonito,50
728,Boa Vista do Cadeado,43
729,Boa Vista do Incra,43
730,Canavieira,22
731,Arataca,29
732,Boa Vista do Sul,43
733,Itatiaia,33
734,Governador Lindenberg,32
735,Japeri,33
736,Bom Sucesso,25
737,Capitão Poço,15
738,Aratuípe,29
739,Caraúbas,24
740,Bom Jesus,43
741,Frei Paulo,28
